trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,win_ns,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,gate_photons_mean,gate_photons_sem,coincidence_ratio_mean,coincidence_ratio_sem,peak_sharpness_mean,peak_sharpness_sem,p2rms_mean,p2rms_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,hypothesis,24,0.8,3.0,0.1,5.0,0.0,0.0,0.0,6.0,0.05,0.1,149104.23503090875,911.1813468991826,35310.75836171784,222.09839280647682,34791.733040919346,219.60772332422687,0.9852996746512427,3.982317691902604e-05,117.98964775480073,0.1342093049693239,13.230294112595844,0.008737053565195144,186.51518079551877,0.5893273308908381,0.18625454102569283,0.02668695314673208,0.23558583283956633,0.0449152972807491,0.04933129181387345,0.031368077509155164,0.22387434446247778,0.006084894757260516
12,antithesis,24,0.8,3.0,0.1,5.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.1,8.0,0.0,0.0,0.0,6.0,0.05,0.1,180413.84809188553,887.106563244354,42724.078717244265,217.72730299363744,42096.06486416239,215.49201570270446,0.9852994246951744,3.968652249493552e-05,117.98876153767822,0.13368760415755093,13.230241979541256,0.008702451336880742,205.16584347830147,0.5258356118416716,0.18625454102569283,0.02668695314673208,0.23831595323529578,0.04502733297954525,0.05206141220960295,0.03159734843933103,0.2289657861244423,0.006198653734981967
12,antithesis,24,0.8,3.0,0.1,8.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.1,12.0,0.0,0.0,0.0,6.0,0.05,0.1,205516.06008075134,760.4506894469324,48666.89023285339,188.7503890420488,47951.494600594284,187.08386997080072,0.9852991796389649,3.95132667400351e-05,117.98794707888896,0.13307401939793498,13.230194203202077,0.008662185020736166,218.97370206313056,0.42772180419307726,0.18625454102569283,0.02668695314673208,0.2409858911294841,0.04516463240420874,0.05473135010379123,0.031845468767521305,0.23383819775981984,0.006396881047686602
12,antithesis,24,0.8,3.0,0.1,12.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.1,20.0,0.0,0.0,0.0,6.0,0.05,0.1,231227.75234951952,564.3936962039011,54753.46257460909,143.13388341034013,53948.56297358702,142.25352642394472,0.9852989244948395,3.931726354651518e-05,117.987121055361,0.1323983238723715,13.230145779736004,0.008618043780218661,232.2660747286841,0.3065206079903862,0.18625454102569283,0.02668695314673208,0.2438013933359441,0.04530362115728066,0.05754685231025128,0.0321000784450019,0.23893108170016264,0.00662830467357651
12,antithesis,24,0.8,3.0,0.1,20.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.2,5.0,0.0,0.0,0.0,6.0,0.05,0.1,212579.14131577953,1846.571330827653,50346.32735511491,446.38695642738037,49606.352368618966,440.92187581057806,0.9853001368961275,4.0205426814754274e-05,117.99115729720116,0.1355570599658897,13.230381311762686,0.008825497321453803,222.70059147351967,0.9908181174922093,0.18625454102569283,0.02668695314673208,0.23167554487962969,0.04460276681638048,0.04542100385393688,0.03089140213462242,0.21688010658544332,0.005769196441723843
12,antithesis,24,0.8,3.0,0.2,5.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.2,8.0,0.0,0.0,0.0,6.0,0.05,0.1,275198.3674377331,1793.942720482191,65172.96806616775,436.5619357313422,64215.016015105044,431.6146048026756,0.9852997028747078,3.992860011321578e-05,117.98965366775333,0.1345253921351843,13.230293582747903,0.008757233098051148,253.3910349900137,0.8527709802695513,0.18625454102569283,0.02668695314673208,0.23595053838193067,0.044815018890133805,0.04969599735623783,0.03128461988256758,0.22478695674330942,0.005984865161121869
12,antithesis,24,0.8,3.0,0.2,8.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.2,12.0,0.0,0.0,0.0,6.0,0.05,0.1,325402.79141546483,1533.5015707500004,77058.59109738603,376.9699435373779,75925.8754879688,373.1886877081054,0.9852993513276295,3.966639808483367e-05,117.98849306992207,0.13359855523614958,13.230225822398813,0.00869641641624993,275.5373243266046,0.6781251495065013,0.18625454102569283,0.02668695314673208,0.23959501590502497,0.045013457024139523,0.05334047487933214,0.03163206591502617,0.23138909374147096,0.006265310208698709
12,antithesis,24,0.8,3.0,0.2,12.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.2,20.0,0.0,0.0,0.0,6.0,0.05,0.1,376826.17595300125,1126.1411316588544,89231.73578089742,282.4252816166526,87920.01223395429,280.30032702595713,0.9852990157728784,3.940134224176022e-05,117.98740971416284,0.1326843182088943,13.230162493484384,0.008636684820382384,296.5089358022879,0.4732117868186838,0.18625454102569283,0.02668695314673208,0.24325238987104894,0.04522388278595683,0.05699784884535617,0.03199335642861644,0.2380091782305143,0.006588297877933877
12,antithesis,24,0.8,3.0,0.2,20.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.3,5.0,0.0,0.0,0.0,6.0,0.05,0.1,276054.0476006504,2783.6492663681242,65381.896348511975,671.0763893389309,64420.97169631857,662.6310728427528,0.9853003860731322,4.0420032717210156e-05,117.99196708442226,0.13631574392682752,13.230427805653953,0.008875326275471543,253.77587215483496,1.3065710977915495,0.18625454102569283,0.02668695314673208,0.22961212934701516,0.04447197817664632,0.04335758832132236,0.030671364331869736,0.2131754951490511,0.0056534186308209436
12,antithesis,24,0.8,3.0,0.3,5.0,0.0,0.0,0.0,6.0,0.05,0.1,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,662.9754527404268,7.979082187266944,0.052364530133963035,0.00023353863617130304,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,25.74315157485484,0.1553879989737142,0.14865246344603775,0.037554837540456104,0.19659800292642204,0.033572957518635184,0.04794553948038429,0.02456042452435674,0.16652667143840463,0.007642747639138769
12,hypothesis,24,0.8,3.0,0.3,8.0,0.0,0.0,0.0,6.0,0.05,0.1,369982.8867835808,2702.5539456074757,87621.85741509125,655.809499600441,86333.96716604769,648.14301520945,0.9852998379696801,4.004931054081163e-05,117.99008566189967,0.13494385305105408,13.23031847553687,0.008784605928240955,293.8035907079546,1.1044230562280033,0.18625454102569283,0.02668695314673208,0.23472053622932568,0.04476439602521818,0.04846599520363284,0.031171600308462406,0.22255144184198453,0.00596736708064974
